Marca temporal,1. Tipo de entidad en la que labora,2. Área funcional principal,3. Antigüedad en la organización,4. Mi organización lanza nuevas herramientas digitales antes que la mayoría de las instituciones financieras del país.,"5. Mi organización invierte de manera visible en probar herramientas digitales nuevas como aplicaciones, plataformas o servicios en línea.",6. Los procesos internos para aprobar nuevas herramientas digitales en mi organización son rápidos.,7. Las decisiones sobre adoptar nuevas tecnologías avanzan al ritmo que el negocio necesita.,8. En mi organización las herramientas digitales se actualizan y mejoran con frecuencia.,9. Los equipos de tecnología y las demás áreas trabajan juntos de forma fluida cuando se lanzan nuevas soluciones digitales.,10. Los sistemas que utilizo en mi trabajo están conectados entre sí y comparten información de manera fluida.,11. Mi organización puede incorporar nuevas funciones digitales sin grandes esfuerzos ni esperas prolongadas.,"12. Las decisiones internas, las políticas y los procesos de mi organización dificultan más que facilitan la adopción de nuevas tecnologías.",13. En mi organización existen mecanismos efectivos para resolver desacuerdos entre áreas cuando un proyecto digital las involucra a varias.,14. Mi organización cuenta con personas que tienen las habilidades digitales que el negocio necesita.,"15. En general, mi organización ha avanzado de manera efectiva en su transformación digital.",Comentario libre (opcional). ¿Hay algo importante sobre la transformación digital de su organización que esta encuesta no haya capturado?
3/5/2026 19:59:47,Banco público,Gerencia / Administración,Más de 10 años,3,3,1,1,2,2,2,2,2,2,2,3,"Estamos en pañales, es necesario más actualización en los sistemas "
3/5/2026 23:23:27,Mutual,Tecnología / Sistemas,Más de 10 años,3,3,4,4,3,4,4,3,4,2,4,3,
4/5/2026 0:03:32,Mutual,Otra,Más de 10 años,2,4,2,4,4,4,4,5,3,3,3,4,
4/5/2026 0:34:52,Cooperativa de ahorro y crédito,Comercial / Atención al cliente,De 1 a 3 años,1,2,2,2,3,1,3,1,3,1,3,3,
4/5/2026 8:19:40,Banco privado,Otra,De 3 a 10 años,3,4,4,3,3,4,3,4,3,4,5,3,
5/5/2026 18:45:15,Mutual,Tecnología / Sistemas,Menos de 1 año,3,4,3,3,4,4,4,2,4,2,3,4,
5/5/2026 18:47:10,Mutual,Tecnología / Sistemas,De 3 a 10 años,2,5,4,4,5,3,5,2,4,2,4,3,
5/5/2026 19:00:59,Mutual,Tecnología / Sistemas,De 3 a 10 años,2,3,1,2,2,2,4,3,5,2,3,3,
5/5/2026 19:35:55,Mutual,Tecnología / Sistemas,De 3 a 10 años,1,1,1,1,1,1,1,1,5,1,5,1,
5/5/2026 19:49:14,Mutual,Tecnología / Sistemas,De 1 a 3 años,3,3,2,3,4,3,3,3,3,3,3,4,
5/5/2026 20:37:29,Mutual,Tecnología / Sistemas,Menos de 1 año,4,4,4,4,4,4,4,4,4,4,5,4,
5/5/2026 22:30:27,Mutual,Tecnología / Sistemas,Menos de 1 año,4,5,3,4,4,4,4,4,2,4,4,4,
6/5/2026 5:01:19,Mutual,Tecnología / Sistemas,De 3 a 10 años,1,1,1,1,1,5,5,3,5,2,5,3,"El avance se ve limitado por qué no tenemos líderes actualizados, viven en el pasado y no tienen la capacidad de adaptarse rápido al cambio acelerado de la tecnología, sino hasta que vean que lo hacen otras entidades… Nos falta ese apetito de riesgo que nos permita ser innovadores y buscar esa autenticidad como banca… "
7/5/2026 10:28:35,Mutual,Tecnología / Sistemas,Más de 10 años,1,4,3,3,2,2,3,2,5,2,4,3,
7/5/2026 10:46:47,Mutual,Tecnología / Sistemas,Menos de 1 año,3,3,2,3,3,2,4,3,4,3,5,4,
7/5/2026 21:23:59,Mutual,Tecnología / Sistemas,De 3 a 10 años,2,4,3,3,4,3,4,2,3,3,4,4,
8/5/2026 19:25:03,Banco privado,Comercial / Atención al cliente,De 1 a 3 años,2,3,2,3,2,4,3,2,4,3,5,3,
8/5/2026 19:43:40,Banco privado,Tecnología / Sistemas,De 1 a 3 años,4,4,4,4,4,5,5,4,5,4,5,5,
8/5/2026 22:28:32,Mutual,Otra,De 3 a 10 años,2,4,4,3,3,3,5,3,4,3,4,2,
8/5/2026 22:43:41,Entidad financiera no bancaria,Gerencia / Administración,Menos de 1 año,4,4,5,5,4,5,4,3,4,4,1,2,
8/5/2026 22:51:45,Banco privado,Tecnología / Sistemas,Menos de 1 año,3,1,5,2,3,5,3,2,2,5,4,5,
8/5/2026 22:56:37,Cooperativa de ahorro y crédito,Gerencia / Administración,De 3 a 10 años,2,5,5,5,2,1,4,3,5,4,5,4,
8/5/2026 23:01:29,Entidad financiera no bancaria,Otra,De 3 a 10 años,2,3,5,4,4,3,5,5,5,4,5,4,
