Variable,Categoría,n,%
Tipo de entidad,Banco privado,46,38.0
Tipo de entidad,Mutual,23,19.0
Tipo de entidad,Entidad financiera no bancaria,21,17.4
Tipo de entidad,Banco público,16,13.2
Tipo de entidad,Cooperativa de ahorro y crédito,15,12.4
Área funcional,Tecnología / Sistemas,43,35.5
Área funcional,Comercial / Atención al cliente,22,18.2
Área funcional,Otra,21,17.4
Área funcional,Gerencia / Administración,19,15.7
Área funcional,Operaciones,16,13.2
Antigüedad,De 3 a 10 años,47,38.8
Antigüedad,De 1 a 3 años,30,24.8
Antigüedad,Más de 10 años,29,24.0
Antigüedad,Menos de 1 año,15,12.4
